,favorite_count,retweet_count,polarity,likability,name,screen_name,industry,controversial
41,0.00012793296312732123,0.0045752239290154035,0.5277971910816373,0.3417437584460604,Adele,Adele,musician,0
7,0.00026630807361704436,0.0018221415071619435,0.5647683546061524,0.3639914892285877,Anna Kendrick,AnnaKendrick47,celebrity,0
48,2.4719190001582028e-06,0.0169229101326661,0.5888775584018349,0.3877938584125146,Beyonce,Beyonce,musician,0
42,8.397819024951761e-05,0.0048586221183257285,0.5659217208785647,0.36640313453334594,Bruno Mars,BrunoMars,musician,0
10,0.0003114617940199337,0.0006561881554367728,0.5213130651755649,0.3354204270443648,Caitlyn Jenner,Caitlyn_Jenner,celebrity,1
22,9.239656606153613e-05,0.004462143932408879,0.596237402091394,0.3856695943130379,Cristiano Ronaldo,Cristiano,athlete,0
11,0.0005225282429822482,0.000214035200458,0.5776856951195696,0.37140913987062246,Mehmet Oz,DrOz,celebrity,1
59,0.00011100470423486228,0.0009667445915979522,0.5521089986525926,0.3553844914450163,Eminem,Eminem,musician,1
6,0.0014008032925075628,0.0008700432830085145,0.666821159840827,0.42905934510583094,Emma Watson,EmmaWatson,celebrity,0
60,0.0002078120941170041,0.0013268059953962029,0.5630119478144177,0.3625901263206861,Fergie,Fergie,musician,1
18,0.0008189661258666216,0.0001346740297228871,0.5859399759149299,0.3766706929463148,Gwyneth Paltrow,GwynethPaltrow,celebrity,1
5,0.000612104869101321,0.00013804626936858057,0.5665323188616502,0.3641988166502977,Gina Rodriguez,HereIsGina,celebrity,0
52,0.0003721542374107529,0.0008462478575577151,0.5635608534344401,0.36267856774749463,John Mayer,JohnMayer,musician,1
30,0.0001549764575964163,0.000401628317753482,0.59083173253532,0.3799615834304739,Kevin Durant,KDTrey5,athlete,1
37,0.00012767415915983569,0.002421384114673872,0.5209208236362233,0.33613934927527334,Colin Kaepernick,Kaepernick7,athlete,1
14,0.0004380224698462155,0.00024052107675448387,0.5600752857072635,0.36010510915235344,Kevin Spacey,KevinSpacey,celebrity,1
17,3.249315322842686e-05,0.007044405280105072,0.5051511565613385,0.3285469331685613,Kim Kardashian,KimKardashian,celebrity,1
32,0.00021510032001376665,0.0013406333356093495,0.5596473670874532,0.3604352420572784,Lebron James,KingJames,athlete,1
34,0.00013106017600838775,0.00037611761124200686,0.5307514167283076,0.34133259952057937,Lavar Ball,Lavarbigballer,athlete,1
3,0.00021019709453634774,0.0001598669309739219,0.5774750532066818,0.3712439579781646,Leonardo Dicaprio,LeoDiCaprio,celebrity,0
21,0.00021996692910996837,0.00044478430022900354,0.5902930748509845,0.37963911606569933,Lionel Messi,Lionel_Messi,athlete,0
56,7.647143791793762e-05,0.010024898695756389,0.5394017760266137,0.35220011843234117,Miley Cyrus,MileyCyrus,musician,1
33,0.0010253886222878477,0.00015698400726853147,0.5531103064745052,0.3555826093439373,Draymond Green,Money23Green,athlete,1
9,0.00010527323188821889,0.005828254853127296,0.5529676345316775,0.35861064573900436,Oprah Winfrey,Oprah,celebrity,0
31,0.00037827703036084366,0.00013612556624371616,0.53146930764505,0.3416619856239775,Rajon Rondo,RajonRondo,athlete,1
40,0.00015903197123030374,0.002950612161371273,0.5156171683012618,0.33302169786913327,Tristan Thompson,RealTristan13,athlete,1
39,0.00018266716900138148,0.00028624238781753294,0.5551957667010822,0.3569940851767238,Ronda Rousey,RondaRousey,athlete,1
24,0.0001223404846907566,0.009857630369645029,0.5240665744001461,0.3422518310683751,Steph Curry,StephenCurry30,athlete,0
8,4.881741484370402e-05,0.005838470396082477,0.5641696968825594,0.36581607901230107,Ellen Degeneres,TheEllenShow,celebrity,0
0,0.00035494221540733164,0.0011978968135218711,0.5839553755267057,0.3759800192790452,Dwayne Johnson,TheRock,celebrity,0
35,0.0003853820598006652,0.001015458597665858,0.563194686628185,0.3625363061201901,Tiger Woods,TigerWoods,athlete,1
19,0.00014747046417024211,1.0099758662239248e-05,0.6173629239269944,0.39679839048373466,Kristen Stewart,_KrisJStewart,celebrity,1
13,0.0003532426380839216,8.063348633355119e-05,0.5809642255892263,0.3734429405227805,Ashton Kutcher,aplusk,celebrity,1
54,0.00010316267279747692,0.004980233142485151,0.5704998181388408,0.3694124766668203,Britney Spears,britneyspears,musician,1
15,0.0001565905580125695,9.274880576929857e-05,0.503179619036308,0.32345571441557386,Chelsea Handler,chelseahandler,celebrity,1
27,0.0005642818819263292,0.00016129182009198394,0.628033838785629,0.4037399938965412,Chloe Kim,chloekimsnow,athlete,0
58,6.514233600416908e-05,0.0018509460121555702,0.5406138188608783,0.3484826789346049,Chris Brown,chrisbrown,musician,1
44,0.00023515579071134636,0.000635393245128491,0.5627300627527487,0.36202861020300403,Coldplay,coldplay,musician,0
45,0.00028895587189134127,0.0017331533424455653,0.6111010883432253,0.3937216122381746,Ed Sheeran,edsheeran,musician,0
38,0.005814826847766473,4.432810581613334e-05,0.6256404767682372,0.40213738598646365,Hope Solo,hopesolo,athlete,1
50,0.000163904911372453,0.0001958133404350272,0.5778436663597705,0.3715006477433283,Jason Mraz,jason_mraz,musician,0
4,0.00013739184707113714,0.0015472340197465351,0.5839615530228064,0.37617615816324007,Jimmy Fallon,jimmyfallon,celebrity,0
46,0.00017216801847742198,0.02518491529227808,0.5522376557072711,0.3687894643236259,John Legend,johnlegend,musician,0
55,2.5070950790737787e-05,0.04649436443800943,0.5571702136563064,0.3836819390968045,Justin Bieber,justinbieber,musician,1
20,0.00027235322187108913,0.0003246874812506793,0.5622638771571695,0.3615580648608693,Kristaps Porzingis,kporzee,athlete,0
36,0.0012846508985951393,9.296812512144218e-06,0.5657045569297063,0.3635959713436666,Lance Armstrong,lancearmstrong,athlete,1
16,0.0005310252809278405,0.00022155362629880455,0.5198320453212203,0.33422945270067295,Lindsay Lohan,lindsaylohan,celebrity,1
28,0.0012084558495945822,1.6145977387074753e-05,0.5999968259410599,0.3856401403912967,Lindsey Vonn,lindseyvonn,athlete,0
57,0.00028819799790615335,0.0005092783818993601,0.568982481296593,0.3659778030912573,Marilyn Manson,marilynmanson,musician,1
49,0.00011556956044068569,0.004294855078818053,0.566698719002636,0.36659240331012083,Nick Jonas,nickjonas,musician,0
12,5.939448282733062e-05,0.0005720507101179019,0.5269094718745102,0.33897107812590455,Piers Morgan,piersmorgan,celebrity,1
2,0.00023991554972649625,0.0022314786855682353,0.5769241421055389,0.3720294574040215,Chris Pratt,prattprattpratt,celebrity,0
25,0.00028676789219226636,0.0010603653945766615,0.5973928195839144,0.38454090713189654,Roger Federer,rogerfederer,athlete,0
23,8.636480773382918e-05,0.0003814546583808069,0.5430176659905444,0.34921932567518366,Russell Westbrook,russwest44,athlete,0
43,0.00013267375523587496,0.005370285689030642,0.6486648758145545,0.4198654574682045,Selena Gomez,selenagomez,musician,0
26,0.0005835059021001246,0.0016990581976344089,0.5891984331894647,0.37962553476138833,Serena Williams,serenawilliams,athlete,0
47,0.0002299709661655218,0.0015665622310897854,0.5664245914948947,0.36491539663617917,Shakira,shakira,musician,0
29,0.0026644684801705267,0.005893454328047665,0.5782380200440979,0.3748883484813407,Shaun White,shaunwhite,athlete,0
53,0.0001288685342691171,0.0006560960619241147,0.5702108836507809,0.3668480881071222,Taylor Swift,taylorswift13,musician,1
1,0.00037099955089528046,0.0005517165729487902,0.5643836295508972,0.3630453641585419,Tom Hanks,tomhanks,celebrity,0
51,6.869849330464481e-05,0.004964800436085473,0.5800618534691139,0.375549719263304,Tyler The Creator,tylerthecreator,musician,1
